Name,Category,Description,Address,Phone,WhatsApp,BusinessHours,WeeklyOff,TopProducts,Facebook,Instagram,Website,Latitude,Longitude,ImageURL,Slug,OriginalURL,DateAdded,Status
Dr. Pranav Pratap Singh,Dentists,"Welcome to the profile of Dr. Pranav Pratap Singh, a highly skilled and dedicated dentist serving the community of Madhepura. With his extensive knowledge and expertise, Dr. Singh is committed to providing exceptional dental care and ensuring his patients achieve optimal oral health.

As a trusted dentist in Madhepura, Dr. Pranav Pratap Singh holds a Bachelor of Dental Surgery (BDS) degree and has undergone comprehensive training in various aspects of dentistry. With a passion for helping others and a deep understanding of dental health, he is dedicated to providing personalized care to each patient, ensuring their comfort and satisfaction throughout their dental journey.

At Dr. Pranav Pratap Singh's clinic, patient well-being is our top priority. We strive to create a welcoming and relaxing environment, where patients of all ages feel comfortable and at ease. Dr. Singh and his friendly team believe in open communication, taking the time to listen to patients' concerns and providing them with clear explanations and treatment options.

Dr. Pranav Pratap Singh offers a wide range of dental services to address various oral health needs. From routine check-ups and cleanings to restorative procedures and cosmetic enhancements, he utilizes the latest techniques and state-of-the-art equipment to deliver high-quality dental care. Whether you require preventive care, dental fillings, crowns, or teeth whitening, Dr. Singh is dedicated to helping you achieve a healthy and beautiful smile.

With a strong focus on patient education, Dr. Pranav Pratap Singh empowers his patients to take an active role in their dental health. He provides valuable guidance on proper oral hygiene practices, dietary choices, and preventive measures, ensuring long-term oral well-being. Dr. Singh believes that a healthy smile contributes to overall wellness and is passionate about improving the oral health of his patients in Madhepura.

If you are in search of a reliable and compassionate dentist in Madhepura, look no further than Dr. Pranav Pratap Singh. With his expertise, gentle approach, and commitment to delivering outstanding dental care, he is dedicated to being your trusted oral health partner. Schedule an appointment today and experience the exceptional care that Dr. Singh and his team provide to each patient in Madhepura.","SBI ROAD W.N 18 NEAR RAJ HOTEL, Madhepura",919431851300,919431851300,10 AM 8 PM,NEVER,"Teeth treatment, acne treatment, skin and hair analyzer, tatoo remove, permanent hair remove treatment",,,,25.917414,86.791591,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/2-2.png,dr-pranav-pratap-singh,https://mymadhepura.com/listing/dr-pranav-pratap-singh/,2023-05-14,Published
A.k general store,Grocery,"Chocolate, biscuit ,perfumes, lays, kurkure,pan ,etc are available here must visit once.",State Bank road near patanjali shop Madhepura 852113,937766885381,937766885381,Opening time 8am and 10pm,,"Pan, Chocolates,cold drink , Ciggerates,perfumes,etc",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514175915-scaled.jpg,a-k-general-store,https://mymadhepura.com/listing/a-k-general-store/,2023-05-14,Published
Tazz biryani center,Restaurants,"Chicken biryani, mutton biryani , chicken chawal , mutton chawal ,egg biryani ,etc",SBI ROAD WARD NO 17 NEAR PRADIP YADAV HOSPITAL MADHEPURA,917070748777,91707074877,10am opening and closing time 9pm,,"Chicken biryani , mutton biryani ,chicken chawal,egg chawal,mutton chawal,mutton biryani etc",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514180747-scaled.jpg,tazz-biryani-center,https://mymadhepura.com/listing/tazz-biryani-center/,2023-05-14,Published
Devki Mart,Grocery,"All types of icecreams , cold drink , chocolate , biscuit , perfumes, Cosmetic products are available here must visit once.",State Bank road near patanjali shop Madhepura 852113,919304459992,919304459992,8:00 opening and closing 10pm,,"Sudha milk,cold drink, cosmetic products, biscuit chocolate ,and many more items",,,,25.932771,86.795539,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514200628-scaled.jpg,devki-mart,https://mymadhepura.com/listing/devki-mart/,2023-05-15,Published
Baby health care centre (Dr. Ravindra kumar MBBS Patna),Doctors,New born baby &amp;child specialist Dr.Ravindra kumar,Japalpati chowk Madhepura,918102829890,919955732864,10:am opening time closing time 9pm,,New born & child specialist,,,,25.933896,86.795264,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514194603-scaled.jpg,baby-health-care-centre-dr-ravindra-kumar-mbbs-patna,https://mymadhepura.com/listing/baby-health-care-centre-dr-ravindra-kumar-mbbs-patna/,2023-05-15,Published
आदित्य विजन मधेपुरा,Fashion,"ALL BRAND LIKE LG, WHIRLPOOL,DELL,blue star, VOLTASE,GOONEY,Sony all electronic things are available here must visit once .","Aditya Vision, KARPURI CHOWK, opp. HP PETROL PUMP, Madhepura, Bihar 852113",918521134580,918521134580,10am opening and closing time 9pm,,"LCD, FRIZZ , WASHING MACHINE , MOBILE PHONES,LAPTOP, COOLER ,AND MANY NORE ITEM",,,,25.930109,86.789429,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514194746-scaled.jpg,%e0%a4%86%e0%a4%a6%e0%a4%bf%e0%a4%a4%e0%a5%8d%e0%a4%af-%e0%a4%b5%e0%a4%bf%e0%a4%9c%e0%a4%a8-%e0%a4%ae%e0%a4%a7%e0%a5%87%e0%a4%aa%e0%a5%81%e0%a4%b0%e0%a4%be,https://mymadhepura.com/listing/%e0%a4%86%e0%a4%a6%e0%a4%bf%e0%a4%a4%e0%a5%8d%e0%a4%af-%e0%a4%b5%e0%a4%bf%e0%a4%9c%e0%a4%a8-%e0%a4%ae%e0%a4%a7%e0%a5%87%e0%a4%aa%e0%a5%81%e0%a4%b0%e0%a4%be/,2023-05-15,Published
Hotel Raj,Hotels,All types of rooms are available here....must visit oNCe,SBI ROAD WARD NO 17 NEAR MODERN TV,917580859043,917280859043,24 hours open,,All prices of rooms are available here,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515104743-scaled.jpg,hotel-raj,https://mymadhepura.com/listing/hotel-raj/,2023-05-15,Published
Hotel SAS,Hotels,All types of low budget and high budget rooms are available here,By pass road near Honda showroom,917549938256,917549938256,All time available here rooms,No weekly off,All types of rooms are available here,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515104538-scaled.jpg,hotel-sas,https://mymadhepura.com/listing/hotel-sas/,2023-05-15,Published
Hotel Maheshwari,Hotels,All types of rooms are available here must visit once...Hotel Maheshwari,Near chowka resturant,917070245422,917070245422,All time open,,All types of rooms are available here,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515103535-scaled.jpg,hotel-maheshwari,https://mymadhepura.com/listing/hotel-maheshwari/,2023-05-15,Published
OZOS HOSPITAL DR.PUJA BHARTI,Doctors,"Women's doctor Dr Puja bharti

Women's all problems solution here ...
Child specialist and women's all treatment",Japalpati chowk Madhepura near kajaria tiles,919304057539,919473488761,10 : opening and 8pm close,,Women doctor and CHILD specialist,,,,25.917414,86.791591,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515104150-scaled.jpg,ozos-hospital-dr-puja-bharti,https://mymadhepura.com/listing/ozos-hospital-dr-puja-bharti/,2023-05-15,Published
MODERN TV centre,Fashion,"All brand tv ,fizz ,AC ,are here ...with Bajaj finance loan facility...must visit once",Near Raj hotel SBI ROAD WARD NO 17,919162898947,919162898947,9am opening time and closing time 9pm,Sunday close,"All types of tv , fizz ,cooler , washing machine al",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515104802-scaled.jpg,modern-tv-centre,https://mymadhepura.com/listing/modern-tv-centre/,2023-05-15,Published
K K Darbar marriage hall,Banquets,"<h1>K.K Darbar marriage hall</h1>
Introducing K.K Darbar: Creating Unforgettable Moments at the Perfect Marriage Hall

Welcome to K.K Darbar, where dreams come to life and unforgettable memories are made. We take immense pride in presenting a marriage hall that goes beyond the ordinary, offering an extraordinary venue for your special day. With our commitment to excellence, attention to detail, and world-class facilities, K.K Darbar has established itself as a brand synonymous with impeccable service, luxurious ambiance, and unforgettable celebrations.
<h2>Grand marriage hall</h2>
Discover a Venue of Grandeur and Elegance At K.K Darbar, we understand that your wedding day is a once-in-a-lifetime event, and every detail matters. Our marriage hall exudes grandeur and elegance, setting the stage for a truly magnificent celebration. From the moment you step foot into our meticulously designed space, you'll be captivated by its exquisite architecture, opulent interiors, and stunning décor. Our hall offers a seamless blend of contemporary sophistication and timeless charm, creating a backdrop that will leave a lasting impression on you and your guests.
<h3>Elegant wedding venue</h3>
Unparalleled Facilities for Your Perfect Day K.K Darbar is equipped with state-of-the-art facilities that ensure a seamless and flawless wedding experience. Our spacious hall can accommodate a large number of guests, providing ample room for all your loved ones to gather and celebrate. We offer versatile seating arrangements and customizable layouts, allowing you to design the space according to your unique vision. Whether you prefer a traditional setting or a modern, chic atmosphere, our expert team will work closely with you to bring your dream wedding to life.

Expert Event Planning and Coordination Planning a wedding can be a daunting task, but at K.K Darbar, we aim to make the process stress-free and enjoyable. Our dedicated team of event planning professionals will guide you every step of the way, offering their expertise and support to ensure that your vision is executed flawlessly. From conceptualizing themes and décor to coordinating vendors and managing logistics, we take care of all the intricate details, allowing you to relax and savor every moment of your special day.

Culinary Delights to Delight Every Palate At K.K Darbar, we understand the importance of exceptional cuisine in creating a memorable wedding experience. Our talented culinary team is renowned for crafting delectable menus that tantalize the taste buds and cater to diverse palates. From traditional delicacies to international flavors, our extensive menu options are curated with the utmost care, using only the freshest ingredients and culinary expertise. Our commitment to culinary excellence ensures that your guests will be treated to a feast that delights their senses and leaves a lasting impression.

Unmatched Service and Hospitality The hallmark of K.K Darbar is our unwavering commitment to providing unparalleled service and hospitality. Our team of experienced and dedicated professionals is passionate about creating magical moments and ensuring that every guest feels pampered and valued. From the moment you step foot into our premises until the conclusion of your event, our attentive staff will be at your service, catering to your every need and ensuring that your wedding day is nothing short of perfection.

Make Your Dream Wedding a Reality at K.K Darbar When it comes to your wedding day, there's no room for compromise. Choose K.K Darbar as your marriage hall, and let us transform your dreams into a breathtaking reality. Experience the fusion of elegance, luxury, and flawless service as we curate a wedding celebration that surpasses all expectations. With K.K Darbar as your chosen venue, your special day will become an extraordinary affair, etched forever in your memories as a cherished milestone. Contact us today to embark on this remarkable journey and create the wedding of your dreams.",College chowk Madhepura near petrol pump,918603356950,918603356950,All time open,,Marriage hall and hotel,,,,25.914737,86.788218,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514220134-scaled.jpg,k-k-darbar-marriage-hall,https://mymadhepura.com/listing/k-k-darbar-marriage-hall/,2023-05-15,Published
HOSPITAL (ALL EMERGENCY FACILITY),Hospitals,All emergency facilities are available like ambulance 🚑 and many more things,By pass road near mi showroom,919102131776,91910213776,All time open,,"All emergency facilities are here like ambulance, medicine,and many more things.",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515104607-scaled.jpg,hospital-all-emergency-facility,https://mymadhepura.com/listing/hospital-all-emergency-facility/,2023-05-15,Published
Honda showroom,Fashion,All Honda bikes are available here in low price must visit once,By pass road near hero showroom,919289922733,919289922733,10 am opening time and 9pm closing timw,,All Honda bike are available here Honda showroom,,,,,,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515104349-scaled.jpg,honda-showroom,https://mymadhepura.com/listing/honda-showroom/,2023-05-15,Published
ONE BITE MADHEPURA,Restaurants,"All types of fast food are available here like pizza , burger, 🍔,pesti, chowmein,cake , colddrink etc",Karpoori chowk near shyam fashion,919153361957,919153361957,10am opening and closing time 9pm,,"Pizza,burger,paties,noodles , chicken,mutton ,",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG_20230514_190402.jpg,one-bite-madhepura,https://mymadhepura.com/listing/one-bite-madhepura/,2023-05-15,Published
JANTA GARAGE (BIKE REPAIRING CENTRE),Fashion,All types of bike are repairing here and full servicing here....,Japalpati chowk Madhepura,919123226569,919123226569,10 am opening time and 9pm closing time,,All bike are repairing here,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230514193947-scaled.jpg,janta-garage-bike-repairing-centre,https://mymadhepura.com/listing/janta-garage-bike-repairing-centre/,2023-05-15,Published
"StAte bAnk oF INdiA,MaDhEpuRa",Schools,SBI BANK,SBI ROAD NEAR MAIN MARKET,911800111109,911800111109,,Sunday,Bank,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515124959-scaled.jpg,state-bank-of-indiamadhepura,https://mymadhepura.com/listing/state-bank-of-indiamadhepura/,2023-05-15,Published
KAMINI BEAUTY PARLOUR,Fashion,"HAIR CUT , FACIAL,BLECHING ,SPAA ,TONE, COSMETIC PRODUCT FOR GIRLS",SBI ROAD NEAR PATANJALI STORE MADHEPURA,919334431972,919334431972,,Sunday,Hair cut and makeup,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515125445-scaled.jpg,kamini-beauty-parlour,https://mymadhepura.com/listing/kamini-beauty-parlour/,2023-05-15,Published
HOTEL AWITA,Hotels,AC/NoN AC ROOMS ARE AVAILABLE HERE MUST VISIT ONCE,KARPOORI CHOWK NEAR MAIN MARKET,918969334338,919709999284,9am opening time and closing time 9pm,,All types of low budget and high budget rooms are available here AC/non AC,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515124751-scaled.jpg,hotel-awita,https://mymadhepura.com/listing/hotel-awita/,2023-05-15,Published
HOTEL S.K PALACE,Hotels,Best food in cheap prince and also rooms are best,"Rasbihari School Rd, RB Nagar, Madhepura, Bihar 852113",91000000,91000000,Alltime open,,Good service best food and cheaf price,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG_20230515_162144.jpg,hotel-s-k-palace,https://mymadhepura.com/listing/hotel-s-k-palace/,2023-05-15,Published
THE REYMOND SHOP,Fashion,All REYMOND brand cloth are available here must visit once,KARPOORI CHOWK NEAR MAIN MARKET,916476223192,916476223192,10am opening and closing time 9pm,Sunday,All REYMOND brand cloth are available here,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515124453-scaled.jpg,the-reymond-shop,https://mymadhepura.com/listing/the-reymond-shop/,2023-05-15,Published
Hotel Sandhya,Hotels,"Experience Unparalleled Comfort and Hospitality at Hotel Sandhya in Madhepura

Welcome to Hotel Sandhya, your ultimate destination for a memorable stay in Madhepura. Situated in the heart of the city, Hotel Sandhya offers a perfect blend of comfort, convenience, and warm hospitality. Whether you're traveling for business or pleasure, our hotel is committed to providing you with an exceptional experience that exceeds your expectations. Prepare to be immersed in a world of luxury, impeccable service, and a wide range of amenities that cater to your every need.

As one of the top-rated hotels in Madhepura, Hotel Sandhya takes pride in offering a diverse selection of rooms and suites that cater to every traveler's preferences. Whether you're seeking luxury, affordability, or a balance of both, our hotel has the perfect accommodation option for you. From elegantly appointed rooms with modern amenities to spacious suites that offer a home-away-from-home ambiance, we ensure that your stay with us is comfortable and relaxing.

For those seeking the epitome of luxury, our hotel boasts a collection of exquisite suites designed to provide an elevated experience. These meticulously crafted spaces feature sophisticated décor, plush furnishings, and exclusive amenities that cater to the most discerning guests. Immerse yourself in opulence, and indulge in the finest comforts Hotel Sandhya has to offer.

If you're a budget-conscious traveler, we understand the importance of finding a hotel that offers quality without compromising affordability. Hotel Sandhya is proud to offer a range of well-appointed rooms and budget-friendly options that allow you to enjoy a comfortable stay without breaking the bank. Rest assured that even in our budget accommodations, we maintain the highest standards of cleanliness, comfort, and personalized service.

Hotel Sandhya's prime location makes it an ideal choice for both business and leisure travelers. Situated in close proximity to the Madhepura bus stand, our hotel provides convenient access to major attractions, local businesses, and transportation hubs in the area. Whether you're exploring the cultural heritage of Madhepura or attending meetings in the city, our strategic location ensures that you're never far from your desired destinations.

At Hotel Sandhya, we understand that your dining experience plays a vital role in your overall stay. Step into our restaurant and savor a culinary journey of delectable flavors and delightful ambiance. Our skilled chefs create an exquisite array of dishes, ranging from traditional local delicacies to international cuisines, catering to diverse palates. Impeccable service, a warm and inviting atmosphere, and a menu that tantalizes your taste buds await you at our in-house restaurant.

We also recognize the importance of convenience and well-being during your stay. Hotel Sandhya offers a range of amenities designed to make your visit as comfortable and enjoyable as possible. Stay connected with complimentary Wi-Fi access throughout the premises, maintain your fitness routine at our well-equipped gym, and take advantage of our efficient concierge services to assist you with any requests or arrangements.

Hotel Sandhya understands that your satisfaction is our top priority. Our dedicated staff is committed to providing personalized service, ensuring that every aspect of your stay is tailored to your needs. From the moment you step into our hotel until the time of your departure, our team is at your service, ready to assist you with a warm smile and genuine hospitality.

To make your booking process seamless and hassle-free, we offer exclusive hotel deals and packages that cater to different preferences and budgets. Whether you're looking for discounted rates, special promotions, or bundled offerings, Hotel Sandhya ensures that you receive the best value for your stay in Madhepura.

Experience the epitome of comfort, luxury, and exceptional service at Hotel Sandhya in Madhepura. Book your stay with us today and embark on a journey of unforgettable memories.",Station road near railway station,919771903711,918539911246,9am opening time and closing time 9pm,,All types of low budget and high budget rooms are available here AC/non AC,,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515124207-scaled.jpg,hotel-sandiya,https://mymadhepura.com/listing/hotel-sandiya/,2023-05-15,Published
TRENDS (MALL),Fashion,"Boys , girls women's all types of cloth , Cosmetic products,and many more item are here",Station road near railway station,9100000000,91000000,9am opening time and closing time 9pm,,"All types of boys ,girls ,women's cloth and shoes and many more items",,,,25.917104,86.790838,https://oldmedia.mymadhepura.com/wp-content/uploads/2023/05/IMG20230515123907-scaled.jpg,trends-mall,https://mymadhepura.com/listing/trends-mall/,2023-05-15,Published
